"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "JavaScript React", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\בר\IdeaProjects\my-shop\server\models\User.js", "JavaScript", 0, 0, -24, 0, 0, 0, 0, 0, -5, -29
"c:\Users\בר\IdeaProjects\my-shop\server\package-lock.json", "JSON", -12026, 0, 0, 0, 0, 0, 0, 0, -1, -12027
"c:\Users\בר\IdeaProjects\my-shop\server\package.json", "JSON", -51, 0, 0, 0, 0, 0, 0, 0, -1, -52
"c:\Users\בר\IdeaProjects\my-shop\server\routes\authRoutes.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -9, -5, -25
"c:\Users\בר\IdeaProjects\my-shop\server\routes\categoriesRoutes.js", "JavaScript", 0, 0, -7, 0, 0, 0, 0, -3, -3, -13
"c:\Users\בר\IdeaProjects\my-shop\server\routes\currencyRoutes.js", "JavaScript", 0, 0, -7, 0, 0, 0, 0, -3, -3, -13
"c:\Users\בר\IdeaProjects\my-shop\server\routes\locationRoutes.js", "JavaScript", 0, 0, -9, 0, 0, 0, 0, -12, -6, -27
"c:\Users\בר\IdeaProjects\my-shop\server\routes\ordersRoutes.js", "JavaScript", 0, 0, -15, 0, 0, 0, 0, -12, -7, -34
"c:\Users\בר\IdeaProjects\my-shop\server\routes\productRoutes.js", "JavaScript", 0, 0, -16, 0, 0, 0, 0, -15, -8, -39
"c:\Users\בר\IdeaProjects\my-shop\server\routes\userRoutes.js", "JavaScript", 0, 0, -9, 0, 0, 0, 0, -12, -6, -27
"c:\Users\בר\IdeaProjects\my-shop\server\server.js", "JavaScript", 0, 0, -15, 0, 0, 0, 0, 0, -2, -17
"c:\Users\בר\IdeaProjects\my-shop\server\setup\currencyCrone.js", "JavaScript", 0, 0, -18, 0, 0, 0, 0, 0, -1, -19
"c:\Users\בר\IdeaProjects\my-shop\server\setup\mongoMockDB.js", "JavaScript", 0, 0, -27, 0, 0, 0, 0, 0, -5, -32
"c:\Users\בר\IdeaProjects\my-shop\server\setup\socketio.js", "JavaScript", 0, 0, -23, 0, 0, 0, 0, 0, -4, -27
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\auth.test.js", "JavaScript", 0, 0, -128, 0, 0, 0, 0, -1, -19, -148
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\categories.test.js", "JavaScript", 0, 0, -27, 0, 0, 0, 0, -1, -5, -33
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\loaction.test.js", "JavaScript", 0, 0, -26, 0, 0, 0, 0, -19, -6, -51
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\products.test.js", "JavaScript", 0, 0, -81, 0, 0, 0, 0, -1, -9, -91
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\socketio.test.js", "JavaScript", 0, 0, -45, 0, 0, 0, 0, 0, -7, -52
"c:\Users\בר\IdeaProjects\my-shop\server\test\api\user.test.js", "JavaScript", 0, 0, -150, 0, 0, 0, 0, -1, -17, -168
"c:\Users\בר\IdeaProjects\my-shop\server\utils\logger.js", "JavaScript", 0, 0, -13, 0, 0, 0, 0, 0, -1, -14
"c:\Users\בר\IdeaProjects\my-shop\server\utils\seederScript.js", "JavaScript", 0, 0, -27, 0, 0, 0, 0, 0, -10, -37
"c:\Users\בר\IdeaProjects\my-shop\server\utils\validators.js", "JavaScript", 0, 0, -72, 0, 0, 0, 0, -25, -6, -103
"Total", "-", -40393, -29, -2740, -124, -2569, -601, -73, -248, -593, -47370
